,user_id,Recency,Frequency,Monetary,r_quartile,f_quartile,m_quartile,RFMScore
58,59,-1,66,10107,1,4,4,144
59,60,5,122,18499,4,2,2,422
60,61,1,139,21150,2,1,1,211
61,62,0,110,15582,1,3,3,133
62,63,-1,70,9192,1,4,4,144
63,64,2,89,12406,3,4,4,344
64,65,-1,109,16429,1,3,2,132
65,66,5,70,11672,4,4,4,444
66,67,-1,104,16083,1,3,2,132
67,68,2,51,6250,3,4,4,344
68,69,3,91,13061,3,4,4,344
69,70,0,63,9420,1,4,4,144
70,71,1,98,14556,2,3,3,233
71,72,-1,109,15585,1,3,3,133
72,73,0,105,14561,1,3,3,133
73,74,1,62,8469,2,4,4,244
74,75,-1,163,22643,1,1,1,111
75,76,4,109,14926,4,3,3,433
76,77,5,64,7976,4,4,4,444
77,78,2,74,10904,3,4,4,344
78,79,2,123,16918,3,2,2,322
79,80,-1,64,8513,1,4,4,144
80,81,-1,100,14403,1,3,3,133
81,82,0,133,20746,1,1,1,111
82,83,-1,95,13983,1,4,3,143
83,84,2,86,12193,3,4,4,344
84,85,4,114,18817,4,2,1,421
85,86,-1,70,9868,1,4,4,144
86,87,2,114,17695,3,2,2,322
87,88,8,128,18357,4,2,2,422
88,89,0,149,21514,1,1,1,111
89,90,0,107,14273,1,3,3,133
90,91,-1,62,8858,1,4,4,144
91,92,0,101,14364,1,3,3,133
92,93,0,119,17329,1,2,2,122
93,94,7,57,8072,4,4,4,444
94,95,2,132,17798,3,1,2,312
95,96,0,119,16319,1,2,2,122
96,97,4,103,15318,4,3,3,433
97,98,0,96,14643,1,4,3,143
98,99,-1,86,11827,1,4,4,144
99,100,0,80,11440,1,4,4,144
100,101,7,114,18046,4,2,2,422
101,102,5,76,10943,4,4,4,444
102,103,3,107,15263,3,3,3,333
103,104,2,123,18408,3,2,2,322
104,105,1,127,19759,2,2,1,221
105,106,0,71,10474,1,4,4,144
106,107,0,123,16955,1,2,2,122
107,108,2,104,16629,3,3,2,332
108,109,1,132,19192,2,1,1,211
109,110,-1,68,10492,1,4,4,144
110,111,-1,128,19733,1,2,1,121
111,112,-1,103,14536,1,3,3,133
112,113,0,105,15971,1,3,2,132
113,114,11,67,10589,4,4,4,444
114,115,3,85,12633,3,4,4,344
115,116,1,134,18038,2,1,2,212
116,117,14,56,7318,4,4,4,444
117,118,0,113,16414,1,2,2,122
118,119,-1,137,19422,1,1,1,111
119,120,15,77,10621,4,4,4,444
120,121,3,113,15407,3,2,3,323
121,122,1,91,13912,2,4,3,243
122,123,4,106,14735,4,3,3,433
123,124,-1,128,19342,1,2,1,121
124,125,-1,109,16017,1,3,2,132
125,126,0,102,14607,1,3,3,133
126,127,5,106,15983,4,3,2,432
127,128,-1,106,14874,1,3,3,133
128,129,2,98,15559,3,3,3,333
129,130,-1,120,15061,1,2,3,123
130,131,-1,70,10013,1,4,4,144
131,132,5,96,14145,4,4,3,443
132,133,2,131,18825,3,1,1,311
133,134,0,92,12227,1,4,4,144
134,135,4,114,18076,4,2,2,422
135,136,16,94,13528,4,4,4,444
136,137,0,113,16843,1,2,2,122
137,138,5,101,12812,4,3,4,434
138,139,6,96,15158,4,4,3,443
139,140,0,131,21751,1,1,1,111
140,141,2,96,13388,3,4,4,344
141,142,-1,110,15317,1,3,3,133
142,143,0,159,22993,1,1,1,111
143,144,9,92,14649,4,4,3,443
144,145,3,157,22661,3,1,1,311
145,146,1,144,22047,2,1,1,211
146,147,-1,80,10840,1,4,4,144
147,148,-1,134,20645,1,1,1,111
148,149,6,109,16372,4,3,2,432
149,150,9,94,14014,4,4,3,443
150,151,2,96,13365,3,4,4,344
151,152,1,98,13412,2,3,4,234
152,153,6,149,19238,4,1,1,411
153,154,3,102,15395,3,3,3,333
154,155,4,65,9327,4,4,4,444
155,156,0,96,14227,1,4,3,143
156,157,2,85,12091,3,4,4,344
157,158,0,148,22708,1,1,1,111
158,159,-1,70,8266,1,4,4,144
159,160,1,81,12521,2,4,4,244
160,161,-1,93,15431,1,4,3,143
161,162,-1,79,11938,1,4,4,144
162,163,2,116,15972,3,2,2,322
163,164,0,136,20200,1,1,1,111
164,165,2,104,15684,3,3,3,333
165,166,0,108,14851,1,3,3,133
166,167,0,107,16481,1,3,2,132
167,168,2,95,13764,3,4,3,343
168,169,1,110,16306,2,3,2,232
169,170,1,115,15802,2,2,3,223
170,171,4,85,13596,4,4,4,444
171,172,6,102,13501,4,3,4,434
172,173,0,176,26918,1,1,1,111
173,174,4,116,15269,4,2,3,423
174,175,-1,102,16352,1,3,2,132
175,176,-1,68,10343,1,4,4,144
176,177,1,100,15538,2,3,3,233
177,178,1,173,26024,2,1,1,211
178,179,0,138,21471,1,1,1,111
179,180,0,111,15985,1,3,2,132
180,181,2,107,15960,3,3,3,333
181,182,0,106,17330,1,3,2,132
182,183,1,110,14956,2,3,3,233
183,184,2,97,13657,3,3,4,334
184,185,1,103,13615,2,3,4,234
185,186,7,116,15362,4,2,3,423
186,187,1,97,13637,2,3,4,234
187,188,0,113,15709,1,2,3,123
188,189,-1,89,12261,1,4,4,144
189,190,6,89,15332,4,4,3,443
190,191,1,91,13767,2,4,3,243
191,192,3,111,15428,3,3,3,333
192,193,2,125,18481,3,2,2,322
193,194,5,119,19086,4,2,1,421
194,195,12,126,20280,4,2,1,421
195,196,-1,113,15562,1,2,3,123
196,197,1,57,8558,2,4,4,244
197,198,3,80,11481,3,4,4,344
198,199,-1,109,15253,1,3,3,133
199,200,2,105,15021,3,3,3,333
200,201,2,90,15675,3,4,3,343
201,202,-1,164,24602,1,1,1,111
202,203,3,120,18514,3,2,2,322
203,204,3,124,18054,3,2,2,322
204,205,1,104,15543,2,3,3,233
205,206,0,118,18740,1,2,1,121
206,207,6,145,20305,4,1,1,411
207,208,-1,122,17857,1,2,2,122
208,209,3,147,23559,3,1,1,311
209,210,12,71,12475,4,4,4,444
210,211,-1,102,14956,1,3,3,133
211,212,-1,98,12380,1,3,4,134
212,213,0,138,20002,1,1,1,111
213,214,2,82,11018,3,4,4,344
214,215,0,159,23469,1,1,1,111
215,216,1,92,13135,2,4,4,244
216,217,4,130,20144,4,1,1,411
217,218,3,140,18050,3,1,2,312
218,219,13,121,18094,4,2,2,422
219,220,5,134,19736,4,1,1,411
220,221,2,109,14721,3,3,3,333
221,222,3,119,16834,3,2,2,322
222,223,0,117,16861,1,2,2,122
223,224,6,123,16778,4,2,2,422
224,225,3,78,11626,3,4,4,344
225,226,0,131,18564,1,1,1,111
226,227,7,84,12485,4,4,4,444
227,228,-1,127,17017,1,2,2,122
228,229,0,126,18254,1,2,2,122
229,230,4,163,20777,4,1,1,411
230,231,11,97,13794,4,3,3,433
231,232,-1,132,19770,1,1,1,111
232,233,3,143,19502,3,1,1,311
233,234,0,112,16687,1,2,2,122
234,235,1,106,14938,2,3,3,233
235,236,6,101,14913,4,3,3,433
236,237,0,121,17506,1,2,2,122
237,238,2,55,9022,3,4,4,344
238,239,3,112,16841,3,2,2,322
239,240,5,85,12329,4,4,4,444
240,241,4,96,14317,4,4,3,443
241,242,1,123,18468,2,2,2,222
242,243,0,114,16195,1,2,2,122
243,244,-1,151,20602,1,1,1,111
244,245,3,106,16495,3,3,2,332
245,246,-1,128,18989,1,2,1,121
246,247,-1,158,24856,1,1,1,111
247,248,3,152,22134,3,1,1,311
248,249,2,103,14345,3,3,3,333
249,250,3,104,15517,3,3,3,333
250,251,2,141,20934,3,1,1,311
251,252,1,127,18268,2,2,2,222
252,253,1,122,19033,2,2,1,221
253,254,1,114,17156,2,2,2,222
254,255,2,94,13792,3,4,3,343
255,256,0,161,22490,1,1,1,111
256,257,-1,95,14187,1,4,3,143
257,258,0,115,16971,1,2,2,122
258,259,2,105,14392,3,3,3,333
259,260,7,45,6800,4,4,4,444
260,261,4,105,13548,4,3,4,434
261,262,3,123,17391,3,2,2,322
262,263,2,126,19018,3,2,1,321
263,264,7,95,14446,4,4,3,443
264,265,0,102,14025,1,3,3,133
265,266,0,111,15116,1,3,3,133
266,267,0,111,16555,1,3,2,132
267,268,3,122,17065,3,2,2,322
268,269,0,104,16371,1,3,2,132
269,270,-1,102,15515,1,3,3,133
270,271,-1,93,14171,1,4,3,143
271,272,-1,134,20299,1,1,1,111
272,273,0,81,10966,1,4,4,144
273,274,2,176,23351,3,1,1,311
274,275,3,125,16542,3,2,2,322
275,276,-1,129,17965,1,1,2,112
276,277,8,121,16988,4,2,2,422
277,278,0,106,14345,1,3,3,133
278,279,5,118,17861,4,2,2,422
279,280,3,130,19532,3,1,1,311
280,281,2,98,14521,3,3,3,333
281,282,0,150,22473,1,1,1,111
282,283,1,112,16105,2,2,2,222
283,284,0,141,19744,1,1,1,111
284,285,0,98,13081,1,3,4,134
285,286,1,110,15711,2,3,3,233
286,287,3,100,13971,3,3,3,333
287,288,3,101,13870,3,3,3,333
288,289,2,134,19403,3,1,1,311
289,290,8,137,20665,4,1,1,411
290,291,-1,127,17854,1,2,2,122
291,292,2,93,13475,3,4,4,344
292,293,2,97,12176,3,3,4,334
293,294,-1,124,18799,1,2,1,121
294,295,2,112,17440,3,2,2,322
295,296,-1,104,13805,1,3,3,133
296,297,10,84,12699,4,4,4,444
297,298,15,104,14761,4,3,3,433
298,299,7,83,12370,4,4,4,444
299,300,2,68,9797,3,4,4,344
300,301,0,104,14474,1,3,3,133
301,302,2,53,8299,3,4,4,344
302,303,-1,122,18289,1,2,2,122
303,304,4,62,7996,4,4,4,444
304,305,2,90,11879,3,4,4,344
305,306,0,143,20395,1,1,1,111
306,307,1,153,21203,2,1,1,211
307,308,1,86,12221,2,4,4,244
308,309,0,102,15832,1,3,3,133
309,310,2,130,17783,3,1,2,312
310,311,0,128,18190,1,2,2,122
311,312,1,90,13268,2,4,4,244
312,313,0,97,10707,1,3,4,134
313,314,1,183,25851,2,1,1,211
314,315,-1,125,16227,1,2,2,122
315,316,17,69,10544,4,4,4,444
316,317,16,97,13359,4,3,4,434
317,318,12,91,12568,4,4,4,444
318,319,3,158,24239,3,1,1,311
319,320,-1,131,17572,1,1,2,112
320,321,-1,159,22145,1,1,1,111
321,322,-1,107,16699,1,3,2,132
322,323,-1,135,19987,1,1,1,111
323,324,7,151,22645,4,1,1,411
324,325,2,132,19528,3,1,1,311
325,326,-1,107,15130,1,3,3,133
326,327,5,101,14386,4,3,3,433
327,328,0,101,15219,1,3,3,133
328,329,5,136,20715,4,1,1,411
329,330,1,87,13950,2,4,3,243
330,331,0,94,13960,1,4,3,143
331,332,-1,122,18975,1,2,1,121
332,333,16,75,12401,4,4,4,444
333,334,0,104,13978,1,3,3,133
334,335,1,141,20579,2,1,1,211
335,336,0,129,18356,1,1,2,112
336,337,-1,90,12894,1,4,4,144
337,338,0,155,21222,1,1,1,111
338,339,12,92,13426,4,4,4,444
339,340,2,93,13060,3,4,4,344
340,341,1,159,24047,2,1,1,211
341,342,4,142,19647,4,1,1,411
342,343,4,165,19904,4,1,1,411
343,344,1,100,13438,2,3,4,234
344,345,2,150,19759,3,1,1,311
345,346,2,143,20650,3,1,1,311
346,347,-1,92,14047,1,4,3,143
347,348,0,93,12419,1,4,4,144
348,349,5,148,23726,4,1,1,411
349,350,11,92,13325,4,4,4,444
350,351,3,122,16835,3,2,2,322
351,352,-1,141,21140,1,1,1,111
352,353,5,97,14412,4,3,3,433
353,354,2,51,8242,3,4,4,344
354,355,10,62,10158,4,4,4,444
355,356,6,131,19542,4,1,1,411
356,357,0,101,13920,1,3,3,133
357,358,5,131,19075,4,1,1,411
358,359,5,97,14277,4,3,3,433
359,360,-1,137,20111,1,1,1,111
360,361,7,123,18573,4,2,1,421
361,362,-1,149,23845,1,1,1,111
362,363,0,163,22111,1,1,1,111
363,364,3,75,11232,3,4,4,344
364,365,-1,123,18035,1,2,2,122
365,366,0,145,22211,1,1,1,111
366,367,-1,118,17242,1,2,2,122
367,368,-1,178,24357,1,1,1,111
368,369,11,71,9515,4,4,4,444
369,370,-1,128,20234,1,2,1,121
370,371,4,107,15556,4,3,3,433
371,372,-1,129,17108,1,1,2,112
372,373,6,92,13623,4,4,4,444
373,374,-1,114,15110,1,2,3,123
374,375,0,126,19781,1,2,1,121
375,376,0,144,20151,1,1,1,111
376,377,3,145,23130,3,1,1,311
377,378,8,119,16892,4,2,2,422
378,379,5,108,15768,4,3,3,433
379,380,8,82,12431,4,4,4,444
380,381,0,162,24056,1,1,1,111
381,382,2,80,11589,3,4,4,344
382,383,4,117,17010,4,2,2,422
383,384,1,113,16426,2,2,2,222
384,385,2,124,19304,3,2,1,321
385,386,2,59,8459,3,4,4,344
386,387,0,148,19989,1,1,1,111
387,388,-1,107,17007,1,3,2,132
388,389,1,138,20910,2,1,1,211
389,390,-1,108,14536,1,3,3,133
390,391,1,86,12584,2,4,4,244
391,392,0,110,15355,1,3,3,133
392,393,-1,130,18729,1,1,1,111
393,394,2,120,16872,3,2,2,322
394,395,1,132,20488,2,1,1,211
395,396,2,134,19348,3,1,1,311
396,397,0,103,14507,1,3,3,133
397,398,-1,129,18480,1,1,2,112
398,399,13,103,15516,4,3,3,433
399,400,-1,139,21789,1,1,1,111
400,401,0,85,11133,1,4,4,144
401,402,-1,122,17277,1,2,2,122
402,403,-1,139,19597,1,1,1,111
403,404,-1,93,13602,1,4,4,144
404,405,5,118,17394,4,2,2,422
405,406,3,106,15140,3,3,3,333
406,407,-1,158,22317,1,1,1,111
407,408,0,91,14178,1,4,3,143
408,409,0,133,19149,1,1,1,111
409,410,-1,98,12412,1,3,4,134
410,411,4,65,9361,4,4,4,444
411,412,-1,123,17888,1,2,2,122
412,413,0,124,18465,1,2,2,122
413,414,22,106,15306,4,3,3,433
414,415,10,87,12538,4,4,4,444
415,416,2,129,18367,3,1,2,312
416,417,0,114,16124,1,2,2,122
417,418,2,50,7018,3,4,4,344
418,419,-1,120,16878,1,2,2,122
419,420,8,138,19253,4,1,1,411
420,421,1,128,17786,2,2,2,222
421,422,1,129,20472,2,1,1,211
422,423,2,92,13139,3,4,4,344
423,424,-1,160,21682,1,1,1,111
424,425,2,153,22074,3,1,1,311
425,426,1,137,21242,2,1,1,211
426,427,4,111,14596,4,3,3,433
427,428,4,93,12943,4,4,4,444
428,429,1,124,16806,2,2,2,222
429,430,1,159,23576,2,1,1,211
430,431,-1,124,18161,1,2,2,122
431,432,1,121,18442,2,2,2,222
432,433,1,86,13621,2,4,4,244
433,434,7,109,15475,4,3,3,433
434,435,1,87,13590,2,4,4,244
435,436,0,100,13739,1,3,3,133
436,437,0,101,16010,1,3,2,132
437,438,-1,90,11881,1,4,4,144
438,439,3,181,26246,3,1,1,311
439,440,-1,131,20214,1,1,1,111
440,441,-1,133,18879,1,1,1,111
441,442,-1,81,12787,1,4,4,144
442,443,0,139,19372,1,1,1,111
443,444,1,92,12956,2,4,4,244
444,445,2,110,14037,3,3,3,333
445,446,0,164,24816,1,1,1,111
446,447,0,145,19567,1,1,1,111
447,448,-1,107,14325,1,3,3,133
448,449,0,77,10531,1,4,4,144
449,450,0,118,17450,1,2,2,122
450,451,-1,129,16647,1,1,2,112
451,452,2,145,22342,3,1,1,311
452,453,5,118,16829,4,2,2,422
453,454,3,138,20286,3,1,1,311
454,455,-1,111,17063,1,3,2,132
455,456,1,128,16687,2,2,2,222
456,457,2,106,14169,3,3,3,333
457,458,0,121,16860,1,2,2,122
458,459,1,123,17036,2,2,2,222
459,460,7,118,15394,4,2,3,423
460,461,-1,155,23861,1,1,1,111
461,462,0,131,18360,1,1,2,112
462,463,1,142,20199,2,1,1,211
463,464,3,61,8845,3,4,4,344
464,465,0,92,12910,1,4,4,144
465,466,0,132,19807,1,1,1,111
466,467,0,134,20138,1,1,1,111
467,468,1,123,17984,2,2,2,222
468,469,-1,111,15291,1,3,3,133
469,470,5,102,14185,4,3,3,433
470,471,6,115,15659,4,2,3,423
471,472,2,120,17459,3,2,2,322
472,473,-1,112,15142,1,2,3,123
473,474,2,109,15512,3,3,3,333
474,475,-1,116,18589,1,2,1,121
475,476,-1,159,24543,1,1,1,111
476,477,4,104,15740,4,3,3,433
477,478,4,96,13977,4,4,3,443
478,479,0,133,20630,1,1,1,111
479,480,4,96,14749,4,4,3,443
480,481,2,102,13545,3,3,4,334
481,482,2,85,12910,3,4,4,344
482,483,2,127,18172,3,2,2,322
483,484,-1,127,19079,1,2,1,121
484,485,-1,115,17388,1,2,2,122
485,486,8,73,11088,4,4,4,444
486,487,2,136,18931,3,1,1,311
487,488,-1,133,20263,1,1,1,111
488,489,5,114,17802,4,2,2,422
489,490,4,137,20231,4,1,1,411
490,491,3,149,20778,3,1,1,311
491,492,6,89,13213,4,4,4,444
492,493,-1,133,20436,1,1,1,111
493,494,4,134,18609,4,1,1,411
494,495,0,103,15009,1,3,3,133
495,496,1,104,15240,2,3,3,233
496,497,5,101,16196,4,3,2,432
497,498,2,117,17238,3,2,2,322
498,499,4,130,18538,4,1,2,412
499,500,3,106,14739,3,3,3,333
500,501,2,94,11787,3,4,4,344
501,502,-1,129,19382,1,1,1,111
502,503,4,110,16613,4,3,2,432
503,504,3,101,14549,3,3,3,333
504,505,-1,114,16004,1,2,2,122
505,506,-1,109,15975,1,3,2,132
506,507,0,115,15356,1,2,3,123
507,508,-1,100,14575,1,3,3,133
508,509,1,107,15277,2,3,3,233
509,510,0,117,16179,1,2,2,122
510,511,0,95,13383,1,4,4,144
511,512,-1,139,20777,1,1,1,111
512,513,4,161,21331,4,1,1,411
513,514,0,95,12682,1,4,4,144
514,515,6,68,10497,4,4,4,444
515,516,2,114,16400,3,2,2,322
516,517,0,101,15022,1,3,3,133
517,518,-1,87,12556,1,4,4,144
518,519,3,145,20335,3,1,1,311
519,520,0,131,18172,1,1,2,112
520,521,1,93,14343,2,4,3,243
521,522,-1,98,12853,1,3,4,134
522,523,5,116,18075,4,2,2,422
523,524,-1,106,16182,1,3,2,132
524,525,8,85,11355,4,4,4,444
525,526,-1,132,17714,1,1,2,112
526,527,3,89,12430,3,4,4,344
527,528,-1,124,17113,1,2,2,122
528,529,-1,137,19782,1,1,1,111
529,530,0,113,16044,1,2,2,122
530,531,2,120,17786,3,2,2,322
531,532,-1,119,16633,1,2,2,122
532,533,0,98,16176,1,3,2,132
533,534,5,120,14605,4,2,3,423
534,535,1,116,16574,2,2,2,222
535,536,0,125,16769,1,2,2,122
536,537,-1,138,19712,1,1,1,111
537,538,4,111,15131,4,3,3,433
538,539,-1,93,12905,1,4,4,144
539,540,8,135,18900,4,1,1,411
540,541,-1,121,18354,1,2,2,122
541,542,-1,125,18123,1,2,2,122
542,543,2,108,15030,3,3,3,333
543,544,0,82,13482,1,4,4,144
544,545,4,82,12192,4,4,4,444
545,546,6,114,16878,4,2,2,422
546,547,4,127,18405,4,2,2,422
547,548,1,99,13719,2,3,3,233
548,549,-1,86,13720,1,4,3,143
549,550,-1,136,19709,1,1,1,111
550,551,2,101,13465,3,3,4,334
551,552,-1,95,15784,1,4,3,143
552,553,7,121,17119,4,2,2,422
553,554,3,136,21675,3,1,1,311
554,555,3,106,15600,3,3,3,333
555,556,1,97,14096,2,3,3,233
556,557,8,142,17713,4,1,2,412
557,558,0,109,15683,1,3,3,133
558,559,-1,145,20315,1,1,1,111
559,560,0,105,15409,1,3,3,133
560,561,1,89,11395,2,4,4,244
561,562,4,82,12006,4,4,4,444
562,563,3,86,11082,3,4,4,344
563,564,6,132,19093,4,1,1,411
564,565,-1,86,12530,1,4,4,144
565,566,-1,126,19987,1,2,1,121
566,567,-1,143,19897,1,1,1,111
567,568,-1,146,20097,1,1,1,111
568,569,1,110,16194,2,3,2,232
569,570,1,108,14906,2,3,3,233
570,571,8,135,20491,4,1,1,411
571,572,2,95,16413,3,4,2,342
572,573,5,140,21328,4,1,1,411
573,574,1,137,19605,2,1,1,211
574,575,0,156,23276,1,1,1,111
575,576,-1,106,15819,1,3,3,133
576,577,-1,149,23782,1,1,1,111
577,578,0,141,22875,1,1,1,111
578,579,6,99,14061,4,3,3,433
579,580,4,87,13177,4,4,4,444
580,581,8,69,9584,4,4,4,444
581,582,1,114,16237,2,2,2,222
582,583,0,113,16390,1,2,2,122
583,584,0,107,14745,1,3,3,133
584,585,4,108,14410,4,3,3,433
585,586,0,107,15182,1,3,3,133
586,587,3,93,11987,3,4,4,344
587,588,0,186,28247,1,1,1,111
588,589,5,169,24647,4,1,1,411
589,590,8,90,13643,4,4,4,444
590,591,0,151,20477,1,1,1,111
591,592,1,127,17605,2,2,2,222
592,593,5,114,17187,4,2,2,422
593,594,-1,107,15462,1,3,3,133
594,595,0,107,15089,1,3,3,133
595,596,0,96,13963,1,4,3,143
596,597,0,132,19350,1,1,1,111
597,598,1,101,14933,2,3,3,233
598,599,0,106,15269,1,3,3,133
599,600,1,112,15081,2,2,3,223
600,601,10,85,13119,4,4,4,444
601,602,-1,140,21862,1,1,1,111
602,603,-1,106,16240,1,3,2,132
603,604,2,88,11786,3,4,4,344
604,605,-1,104,15839,1,3,3,133
605,606,2,146,21930,3,1,1,311
606,607,-1,108,14213,1,3,3,133
607,608,0,114,17620,1,2,2,122
608,609,2,134,17536,3,1,2,312
609,610,0,119,17614,1,2,2,122
610,611,11,132,19041,4,1,1,411
611,612,6,128,17213,4,2,2,422
612,613,2,121,17247,3,2,2,322
613,614,3,119,17240,3,2,2,322
614,615,-1,144,21275,1,1,1,111
615,616,0,116,16576,1,2,2,122
616,617,2,112,15655,3,2,3,323
617,618,1,139,19961,2,1,1,211
618,619,-1,115,16543,1,2,2,122
619,620,0,112,16657,1,2,2,122
620,621,2,101,14684,3,3,3,333
621,622,0,82,10320,1,4,4,144
622,623,-1,104,13709,1,3,3,133
623,624,0,148,23251,1,1,1,111
624,625,-1,118,16831,1,2,2,122
625,626,-1,105,15707,1,3,3,133
626,627,0,87,14239,1,4,3,143
627,628,-1,112,16249,1,2,2,122
628,629,0,111,16302,1,3,2,132
629,630,2,145,22630,3,1,1,311
630,631,2,134,20172,3,1,1,311
631,632,7,96,12469,4,4,4,444
632,633,-1,142,22204,1,1,1,111
633,634,2,99,12394,3,3,4,334
634,635,12,118,17974,4,2,2,422
635,636,1,117,17459,2,2,2,222
636,637,-1,103,14828,1,3,3,133
637,638,5,113,17961,4,2,2,422
638,639,3,106,15103,3,3,3,333
639,640,0,104,15593,1,3,3,133
640,641,-1,109,14265,1,3,3,133
641,642,1,124,18053,2,2,2,222
642,643,-1,121,19173,1,2,1,121
643,644,4,106,14951,4,3,3,433
644,645,1,108,15104,2,3,3,233
645,646,-1,124,15599,1,2,3,123
646,647,-1,122,17114,1,2,2,122
647,648,5,130,21023,4,1,1,411
648,649,5,50,7615,4,4,4,444
649,650,1,101,12923,2,3,4,234
650,651,5,54,8520,4,4,4,444
651,652,0,122,17712,1,2,2,122
652,653,-1,123,16654,1,2,2,122
653,654,0,84,12278,1,4,4,144
654,655,2,118,16301,3,2,2,322
655,656,-1,131,17656,1,1,2,112
656,657,5,144,20316,4,1,1,411
657,658,1,94,13474,2,4,4,244
658,659,-1,145,20717,1,1,1,111
659,660,1,132,18527,2,1,2,212
660,661,7,106,15605,4,3,3,433
661,662,1,115,16673,2,2,2,222
662,663,-1,150,22407,1,1,1,111
663,664,8,101,13874,4,3,3,433
664,665,-1,95,14325,1,4,3,143
665,666,4,61,6854,4,4,4,444
666,667,1,90,13977,2,4,3,243
667,668,3,97,14450,3,3,3,333
668,669,0,140,21072,1,1,1,111
669,670,3,114,16170,3,2,2,322
670,671,-1,109,16494,1,3,2,132
671,672,8,144,21429,4,1,1,411
672,673,0,121,16312,1,2,2,122
673,674,1,109,16909,2,3,2,232
674,675,6,108,16278,4,3,2,432
675,676,-1,131,20702,1,1,1,111
676,677,0,113,16444,1,2,2,122
677,678,1,107,16616,2,3,2,232
678,679,-1,105,15597,1,3,3,133
679,680,0,105,15565,1,3,3,133
680,681,-1,106,14954,1,3,3,133
681,682,6,105,15242,4,3,3,433
682,683,-1,144,20936,1,1,1,111
683,684,4,128,19484,4,2,1,421
684,685,2,118,17028,3,2,2,322
685,686,-1,104,14095,1,3,3,133
686,687,1,111,16030,2,3,2,232
687,688,-1,114,16958,1,2,2,122
688,689,0,115,15771,1,2,3,123
689,690,1,132,16937,2,1,2,212
690,691,6,79,11250,4,4,4,444
691,692,10,97,14400,4,3,3,433
692,693,0,114,15141,1,2,3,123
693,694,-1,133,18075,1,1,2,112
694,695,0,129,17260,1,1,2,112
695,696,-1,92,14308,1,4,3,143
696,697,-1,148,22104,1,1,1,111
697,698,0,117,16379,1,2,2,122
698,699,3,106,15902,3,3,3,333
699,700,-1,88,13177,1,4,4,144
700,701,1,138,20526,2,1,1,211
701,702,31,53,7794,4,4,4,444
702,703,5,123,18191,4,2,2,422
703,704,1,83,11753,2,4,4,244
704,705,10,84,11751,4,4,4,444
705,706,2,135,17647,3,1,2,312
706,707,-1,95,11874,1,4,4,144
707,708,7,90,13249,4,4,4,444
708,709,2,114,15747,3,2,3,323
709,710,4,128,17918,4,2,2,422
710,711,12,114,16100,4,2,2,422
711,712,4,149,22882,4,1,1,411
712,713,12,96,15941,4,4,3,443
713,714,0,106,13681,1,3,4,134
714,715,2,142,21428,3,1,1,311
715,716,1,102,14658,2,3,3,233
716,717,-1,136,19960,1,1,1,111
717,718,3,97,13825,3,3,3,333
718,719,6,106,13713,4,3,3,433
719,720,-1,97,13599,1,3,4,134
720,721,3,76,12247,3,4,4,344
721,722,0,89,12514,1,4,4,144
722,723,1,98,13369,2,3,4,234
